name,birthday,nationality
Tom Hanks,1956-07-09,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Meryl Streep,1949-06-22,USA
Wagner Moura,1976-06-27,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Alice Braga,1983-04-15,BRAZIL
Denzel Washington,1954-12-28,USA
Seu Jorge,1970-06-08,BRAZIL
Scarlett Johansson,1984-11-22,USA
Lázaro Ramos,1978-11-01,BRAZIL
Morgan Freeman,1937-06-01,USA
Sônia Braga,1950-06-08,BRAZIL
Will Smith,1968-09-25,USA
Leandra Leal,1982-09-08,BRAZIL
Samuel L. Jackson,1948-12-21,USA
Murilo Benício,1971-07-13,BRAZIL
Angelina Jolie,1975-06-04,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Julia Roberts,1967-10-28,USA
Selton Mello,1972-12-30,BRAZIL
